sentence,Label
কিন্তু রোনালদো তো ব্রাজিলের প্লেয়ার,0
পেছনে ব্রাজিলের প্লেয়ার,0
ওলান্দু অনেক ভালো খেলে,0
শুভো জন্মদিন পর্তুজিল লিজেন্ড ��,0
ফেসবুক কোম্পানির কাছে আবেদন!,0
টপিকটা যদি মেসির হইতো তবে হাহা' রিয়েক্ট গুলো লাভ রিয়েক্টে পরিণত হইতো,0
সবার ভালোবাসাকে সম্মান দেয়া উচিত! এখানে কেউই মেসিকে নিয়ে বাজে কথা বলেনি সুতরাং অহেতুক যেসকল মেসি ফ্যানরা ট্রল করছেন তারা মূর্খের পরিচয় দিচ্ছেন।,0
মানুষের জন্মগত উচ্চারণ নিয়েও যে কিছু মানুষ হাসাহাসি করতে পারে তা কমেন্ট না দেখলে বুঝতে পারতাম না,0
আমি আগে থেকেই সৌদি ও আল নাসের ফ্যান।,0
70% এই ব্রাজিল ভক্তদের আবেগ ভালোবাসা,0
"পকেটে আছে ৫০ টাকা,",0
হেরা নাকি প্রতিদিনই উদযাপন করে,0
আল নাসের এর জার্সি ও পড়ছে,0
রোনালদো আমার অনুপ্রেরণা,0
শুভো জন্মদিন পর্তুজিল লিজেন্ড ��,0
টপিকটা যদি মেসির হইতো তবে হাহা' রিয়েক্ট গুলো লাভ রিয়েক্টে পরিণত হইতো,0
আপনি যে কমেন্ট টি খুজতেছেন সেটি আরও নিচে!,0
"শুভ জন্মদিন ব্রাজিলের লিজেন্ড,ব্রাজিলের হয়ে আরো ম্যাচ দেখতে চাই",0
পাগলের মেলা,0
প্রত্যেকের খোঁজ নিলে দেখা যাবে এদের ৯৯.৯৯% ব্রাজিল সমর্থক।,0
শুভ জন্মদিন ফুটবলের বর পুত্র ক্রিশ্চিয়ানো রোনাল্ডো।,0
বিপিএল ২০২৩ কে কোন দলের সাপোর্টার?,0
অহেতুক নিউজ/ভিডিও/পোষ্ট এর বিরুদ্ধে প্রতিবাদ/রিপোর্ট/ব্লক করে সামাজিক কাজে সহায়তা করুন।,0
যার জন্য খেলাটাকে বোঝতে শিখেছি.....??,0
"ইনশাআল্লাহ, সম্ভব হয়েছে",0
এরা সবাই রনদার উত্তরসরী,0
"আসুন,,আমরা সবাই",0
ওলান্দু অনেক ভালো খেলে,0
শুভ জন্মদিন ফুটবলের যুবরাজ,0
টপিকটা যদি মেসির হইতো তবে হাহা' রিয়েক্ট গুলো লাভ রিয়েক্টে পরিণত হইতো,0
আল নাসের এর জার্সি ও পড়ছে,0
"ইনশাআল্লাহ, সম্ভব হয়েছে",0
আরে এরা কারা,0
হ আফা তুমি রোনালদোকে ভালোবাসো আমিও জানি,0
আল নাসর - রিয়াল - জুভেন্টাস - ম্যানইউ - ব্রাজিল - পর্তুগাল সব সাপোর্টাররা দেহি এক লগে,0
ঐদিন খেলার আগে উদযাপনটা করছিলাম...তো আরকি যা হওয়ার তাই হয়েছে ম্যাচটা খুব বাজেভাবে হারছি,0
সৌন্দর্যে নয় মায়ায় আটকে যাওয়ার নামই হচ্ছে ভালোবাসা:-,0
রোনালদো,0
শুভ জন্মদিন,0
ভাই রোনালদো খেলে আল নাসেরে আর আপনি রিয়াল মাদ্রিদের জার্সি পড়ে আছেন।বিষয়টা গোলমেলে।,0
রোনালদো তবে শেষ পর্যন্ত কবি হয়ে গেল মানুষের অনুপ্রেরণা যোগায়,0
শুভ জন্মদিন রনদা,0
"চমৎকার। আয়োজনের সাথে সম্পর্কিত সকলকেই""নাগরিক অধিকার সুরক্ষা মঞ্চ""র কিশোরগঞ্জের পক্ষ থেকে অবিরাম ভালবাসা।",0
এসব নাটক না করে এই টাকা গুলা গরিব মানুষের মাঝে বিলিয়ে দিলেই পারতেন,0
পিছনে বেশি তেল ধরলে যা হয় আর কি,0
আগে নাম টা তো ভালোভাবে উচ্চারণ করো বইন,0
আপা একটু আমার ফোনের দিকে তাকান,0
আল্লাহ তায়ালা আপনাদের সুবুদ্ধিসম্পন্ন করুন -আমিন।,0
এই মানুষটার বক্তব্য শুনে কার কার কান্না পাইছে,0
খেলাকে সবাই ভালোবাসে ছোটকালে অনেক খেলেছি তো এখন আর তো খেলতে পারি না তো খেলা দেখি আমরা মনটাকে শান্তনা দেই,0
মেয়ের ইন্টারভিউ স্ক্রিপ্ট মনে হয়েছে,0
অসুস্থ প্রজন্ম,0
শুভ জন্মদিন,0
রোনালদো হলো পুরুষ ফুটবলার।,0
রোনালদো আমার অনুপ্রেরণা,0
তোগো কামকাজ নাই।,0
ঐ দেখা যায় আসল পুরুষ,0
